time,frequency,confidence
0.980,315.633,0.959295
0.984,315.778,0.958320
0.988,315.795,0.957970
0.992,315.924,0.959742
0.996,316.009,0.957674
1.000,316.004,0.956546
1.004,315.953,0.958468
1.008,315.982,0.958510
1.012,316.118,0.957589
1.016,316.053,0.956594
1.020,316.065,0.959534
1.024,316.132,0.957697
1.028,316.066,0.958876
1.032,316.010,0.957300
1.036,316.141,0.959175
1.040,316.108,0.957012
1.044,316.088,0.957987
1.048,316.052,0.956789
1.052,316.193,0.959482
1.056,316.230,0.957515
1.060,316.210,0.956459
1.064,316.161,0.957328
1.068,316.269,0.957684
1.072,316.407,0.954504
1.076,316.447,0.952476
1.080,316.351,0.955237
1.084,316.444,0.953892
1.088,316.413,0.954561
1.092,316.329,0.954464
1.096,316.375,0.956914
1.100,316.345,0.955626
1.104,316.278,0.956188
1.108,316.214,0.954823
1.112,316.364,0.957662
1.116,316.326,0.955431
1.120,316.246,0.955921
1.124,316.168,0.956737
1.128,316.251,0.958042
1.132,316.312,0.954912
1.136,316.224,0.955738
1.140,316.025,0.958858
1.144,316.139,0.958310
1.148,316.238,0.956637
1.152,316.183,0.955602
1.156,316.153,0.958996
1.160,316.142,0.957997
1.164,316.089,0.958165
1.168,315.982,0.957525
1.172,316.159,0.959191
1.176,316.096,0.957237
1.180,316.045,0.957578
1.184,316.043,0.956360
1.188,316.176,0.959229
1.192,316.217,0.956931
1.196,316.085,0.956379
1.200,316.005,0.958052
1.204,316.085,0.959665
1.208,316.161,0.957379
1.212,316.162,0.955955
1.216,316.002,0.958962
1.220,316.067,0.958202
1.224,316.080,0.958133
1.228,315.992,0.957694
1.232,316.096,0.959706
1.236,316.073,0.958040
1.240,316.028,0.958324
1.244,315.940,0.957248
1.248,316.103,0.960042
1.252,316.061,0.956811
1.256,316.024,0.957341
1.260,316.022,0.956784
1.264,316.096,0.959896
1.268,316.130,0.957317
1.272,315.975,0.957575
1.276,315.866,0.959930
1.280,315.941,0.959932
1.284,316.060,0.958918
1.288,316.022,0.956988
1.292,315.888,0.960384
1.296,315.976,0.959108
1.300,315.909,0.959793
1.304,315.814,0.959064
1.308,315.940,0.961125
1.312,315.907,0.959466
1.316,315.836,0.959816
1.320,315.799,0.958136
1.324,315.976,0.961392
1.328,315.880,0.959008
1.332,315.851,0.958816
1.336,315.817,0.959048
1.340,315.903,0.960756
1.344,315.954,0.958215
1.348,315.820,0.959113
1.352,315.699,0.960920
1.356,315.822,0.960554
1.360,315.954,0.959378
1.364,315.911,0.958068
1.368,315.834,0.961291
1.372,315.896,0.959951
1.376,315.819,0.960357
1.380,315.707,0.959174
1.384,315.798,0.962037
1.388,315.753,0.960250
1.392,315.648,0.960830
1.396,315.617,0.959403
1.400,315.764,0.962748
1.404,315.646,0.960662
1.408,315.588,0.960346
1.412,315.515,0.960550
1.416,315.609,0.962398
1.420,315.636,0.960122
1.424,315.506,0.960057
1.428,315.379,0.961740
1.432,315.475,0.961640
1.436,315.620,0.960876
1.440,315.561,0.959206
1.444,315.497,0.962282
1.448,315.551,0.960508
1.452,315.507,0.961242
1.456,315.388,0.959627
1.460,315.514,0.962839
1.464,315.486,0.960815
1.468,315.368,0.961018
1.472,315.313,0.959753
1.476,315.400,0.963103
1.480,315.310,0.960504
1.484,315.268,0.960389
1.488,315.229,0.959231
1.492,315.368,0.962937
1.496,315.360,0.961086
1.500,315.320,0.960057
1.504,315.188,0.961288
1.508,315.278,0.962171
1.512,315.386,0.961491
1.516,315.336,0.960006
1.520,315.252,0.961850
1.524,315.289,0.961713
1.528,315.445,0.961868
1.532,315.322,0.960490
1.536,315.418,0.963203
1.540,315.462,0.961502
1.544,315.365,0.962247
1.548,315.316,0.960592
1.552,315.453,0.963939
1.556,315.466,0.960753
1.560,315.400,0.960962
1.564,315.452,0.960330
1.568,315.607,0.963425
1.572,315.589,0.961290
1.576,315.558,0.959931
1.580,315.491,0.960809
1.584,315.642,0.962311
1.588,315.685,0.960508
1.592,315.591,0.960491
1.596,315.470,0.962097
1.600,315.561,0.961638
1.604,315.714,0.960695
1.608,315.645,0.959530
1.612,315.600,0.962481
1.616,315.669,0.960728
1.620,315.645,0.961052
1.624,315.524,0.959717
1.628,315.677,0.962732
1.632,315.687,0.960570
1.636,315.628,0.960931
1.640,315.659,0.959116
1.644,315.840,0.962108
1.648,315.769,0.960158
1.652,315.752,0.959074
1.656,315.725,0.959414
1.660,315.833,0.960666
1.664,315.898,0.958467
1.668,315.802,0.959324
1.672,315.695,0.960919
1.676,315.819,0.960507
1.680,315.976,0.958682
1.684,315.925,0.957703
1.688,315.857,0.960780
1.692,315.949,0.958967
1.696,315.929,0.959470
1.700,315.815,0.958184
1.704,315.970,0.960542
1.708,315.981,0.958524
1.712,315.932,0.958788
1.716,315.985,0.956780
1.720,316.140,0.959290
1.724,316.143,0.957427
1.728,316.073,0.957024
1.732,316.024,0.957536
1.736,316.153,0.958781
1.740,316.245,0.954976
1.744,316.196,0.955667
1.748,316.032,0.958707
1.752,316.109,0.958179
1.756,316.217,0.956430
1.760,316.132,0.955637
1.764,316.123,0.959001
1.768,316.109,0.957547
1.772,316.050,0.957920
1.776,315.948,0.956876
1.780,316.145,0.958959
1.784,316.090,0.956400
1.788,316.082,0.956745
1.792,316.125,0.955443
1.796,316.276,0.957509
1.800,316.368,0.954213
1.804,316.214,0.954308
1.808,316.184,0.956281
1.812,316.283,0.956263
1.816,316.384,0.953986
1.820,316.408,0.952085
1.824,316.246,0.956194
1.828,316.379,0.954105
1.832,316.294,0.955057
1.836,316.215,0.954367
1.840,316.267,0.956992
1.844,316.205,0.956472
1.848,316.122,0.957196
1.852,316.100,0.954845
1.856,316.221,0.958657
1.860,316.147,0.956882
1.864,316.053,0.956993
1.868,316.041,0.957187
1.872,316.122,0.958834
1.876,316.198,0.955467
1.880,316.119,0.956721
1.884,315.967,0.959182
1.888,316.117,0.957973
1.892,316.256,0.955340
1.896,316.205,0.954336
1.900,316.171,0.957818
1.904,316.194,0.955981
1.908,316.141,0.956523
1.912,316.000,0.955498
1.916,316.153,0.957586
1.920,316.054,0.956446
1.924,315.974,0.956709
1.928,315.997,0.955515
1.932,316.094,0.958614
1.936,316.121,0.956433
1.940,315.947,0.956032
1.944,315.881,0.957944
1.948,315.962,0.959439
1.952,316.023,0.957475
1.956,316.023,0.956320
1.960,315.841,0.959168
1.964,315.937,0.958116
1.968,315.982,0.957813
1.972,315.882,0.957250
1.976,316.013,0.958730
1.980,315.992,0.957298
1.984,315.969,0.957542
1.988,315.900,0.955972
1.992,316.052,0.958952
1.996,316.002,0.956440
2.000,315.896,0.957231
2.004,315.952,0.956082
2.008,316.009,0.958908
2.012,316.079,0.956698
2.016,315.898,0.956903
2.020,315.800,0.959280
2.024,315.898,0.959276
2.028,315.990,0.957850
2.032,315.984,0.956368
2.036,315.803,0.959781
2.040,315.903,0.958584
2.044,315.858,0.958691
2.048,315.761,0.957747
2.052,315.837,0.960315
2.056,315.826,0.959163
2.060,315.766,0.959446
2.064,315.751,0.957264
2.068,315.938,0.960810
2.072,315.867,0.958641
2.076,315.799,0.958468
2.080,315.840,0.958337
2.084,315.945,0.959864
2.088,316.035,0.957381
2.092,315.893,0.958241
2.096,315.766,0.960279
2.100,315.923,0.959960
2.104,316.056,0.957485
2.108,316.076,0.956108
2.112,315.987,0.958956
2.116,316.085,0.957303
2.120,316.169,0.956098
