time,frequency,confidence
0.000,213.087,0.214141
0.004,216.756,0.197359
0.008,217.262,0.199014
0.012,219.782,0.049241
0.016,213.986,0.059821
0.020,212.296,0.112641
0.024,234.383,0.161966
0.028,234.510,0.164127
0.032,234.035,0.247422
0.036,237.657,0.199200
0.040,217.745,0.213896
0.044,212.125,0.178144
0.048,217.326,0.236727
0.052,216.773,0.327722
0.056,215.108,0.315289
0.060,213.161,0.315686
0.064,209.475,0.450095
0.068,208.263,0.657906
0.072,206.990,0.714179
0.076,206.815,0.747252
0.080,206.654,0.731662
0.084,206.495,0.718139
0.088,206.779,0.670063
0.092,206.891,0.652510
0.096,206.902,0.545800
0.100,206.895,0.487817
0.104,209.751,0.364538
0.108,209.356,0.268075
0.112,204.433,0.311587
0.116,202.136,0.379698
0.120,201.554,0.419741
0.124,201.736,0.426784
0.128,201.154,0.432994
0.132,199.762,0.455995
0.136,199.542,0.596315
0.140,199.264,0.692914
0.144,199.573,0.709108
0.148,199.489,0.737285
0.152,199.314,0.794749
0.156,199.154,0.808384
0.160,198.959,0.794772
0.164,197.999,0.781253
0.168,197.013,0.798972
0.172,196.207,0.778944
0.176,194.918,0.750227
0.180,192.843,0.690175
0.184,190.570,0.617266
0.188,188.766,0.650424
0.192,188.466,0.624850
0.196,188.159,0.626242
0.200,188.242,0.664232
0.204,188.721,0.641251
0.208,190.423,0.701979
0.212,190.289,0.716414
0.216,191.310,0.701894
0.220,192.250,0.747622
0.224,192.858,0.823281
0.228,193.061,0.861312
0.232,193.097,0.887503
0.236,193.207,0.891627
0.240,193.103,0.909471
0.244,193.116,0.910272
0.248,193.172,0.910331
0.252,193.363,0.898861
0.256,193.604,0.911360
0.260,193.937,0.928863
0.264,194.303,0.939956
0.268,194.519,0.942323
0.272,194.767,0.939400
0.276,194.948,0.942868
0.280,195.085,0.937217
0.284,195.301,0.936476
0.288,195.432,0.934560
0.292,195.550,0.931060
0.296,195.824,0.926240
0.300,195.856,0.934002
0.304,195.890,0.936189
0.308,195.949,0.943345
0.312,196.054,0.946026
0.316,196.187,0.943856
0.320,196.280,0.949459
0.324,196.315,0.949937
0.328,196.446,0.953094
0.332,196.633,0.954311
0.336,196.707,0.954293
0.340,196.761,0.956885
0.344,196.790,0.958238
0.348,196.848,0.958350
0.352,196.905,0.958441
0.356,196.942,0.958120
0.360,196.913,0.958787
0.364,196.908,0.960720
0.368,197.001,0.960396
0.372,197.094,0.957672
0.376,197.212,0.955658
0.380,197.211,0.957013
0.384,197.356,0.950572
0.388,197.550,0.940987
0.392,197.672,0.933386
0.396,197.761,0.930492
0.400,197.714,0.933412
0.404,197.770,0.931218
0.408,197.807,0.929686
0.412,197.800,0.930290
0.416,197.856,0.929216
0.420,197.806,0.930663
0.424,197.897,0.930352
