time,frequency,confidence
0.000,39.751,0.239145
0.004,39.662,0.168844
0.008,39.859,0.130655
0.012,39.891,0.108445
0.016,39.801,0.189489
0.020,39.835,0.159131
0.024,39.535,0.154612
0.028,39.193,0.169461
0.032,40.080,0.112743
0.036,42.247,0.151590
0.040,43.357,0.142143
0.044,43.393,0.166516
0.048,42.803,0.091558
0.052,42.134,0.076698
0.056,41.388,0.213723
0.060,41.619,0.270889
0.064,41.669,0.235815
0.068,41.719,0.152875
0.072,46.847,0.110661
0.076,45.079,0.155548
0.080,44.930,0.165753
0.084,44.719,0.186385
0.088,44.142,0.155035
0.092,43.675,0.135169
0.096,43.507,0.132252
0.100,43.413,0.107387
0.104,39.763,0.082166
0.108,36.727,0.092762
0.112,33.849,0.238129
0.116,32.720,0.318760
0.120,32.750,0.469302
0.124,32.806,0.326706
0.128,32.859,0.230929
0.132,33.347,0.138696
0.136,32.757,0.160174
0.140,32.637,0.083351
0.144,32.581,0.084220
0.148,32.543,0.092635
0.152,32.569,0.070510
0.156,32.581,0.074241
0.160,32.619,0.046151
0.164,32.626,0.074884
0.168,32.678,0.061398
0.172,34.114,0.070189
0.176,34.458,0.149379
0.180,34.463,0.236961
0.184,34.418,0.474660
0.188,34.517,0.617805
0.192,34.768,0.668428
0.196,34.849,0.427488
0.200,35.645,0.137106
0.204,36.666,0.118584
0.208,41.502,0.176279
0.212,45.779,0.095585
0.216,41.534,0.137916
0.220,41.239,0.141551
0.224,41.329,0.217622
0.228,37.381,0.136156
0.232,34.383,0.051991
0.236,34.278,0.246856
0.240,34.325,0.326074
0.244,34.370,0.446873
0.248,34.418,0.469431
0.252,34.805,0.180813
0.256,32.577,0.060506
0.260,32.415,0.053823
0.264,32.494,0.049667
0.268,33.188,0.065572
0.272,33.139,0.134517
0.276,33.240,0.157712
0.280,33.214,0.090782
0.284,33.033,0.113810
0.288,35.964,0.034148
0.292,39.653,0.052715
0.296,43.863,0.090699
0.300,47.726,0.079370
0.304,52.676,0.077692
0.308,58.799,0.080974
0.312,64.059,0.089338
0.316,73.001,0.053993
0.320,80.155,0.102140
0.324,87.644,0.180166
0.328,98.572,0.276481
0.332,108.489,0.262779
0.336,121.457,0.120973
0.340,135.934,0.064592
0.344,148.085,0.060485
0.348,164.801,0.083227
0.352,182.538,0.067180
0.356,206.468,0.092159
0.360,220.656,0.068428
0.364,221.913,0.094090
0.368,222.393,0.153341
0.372,222.929,0.178002
0.376,224.202,0.169011
0.380,241.986,0.121438
0.384,242.130,0.174755
0.388,240.150,0.170637
0.392,238.365,0.191534
0.396,233.085,0.208999
